k,p_theoretical,p_simulated,ci_lo,ci_hi,n_trials
1,0.500000,0.500400,0.490602,0.510198,10000
2,0.250000,0.240500,0.232224,0.248975,10000
3,0.125000,0.117900,0.111725,0.124368,10000
4,0.062500,0.058300,0.053875,0.063064,10000
5,0.031250,0.032000,0.028726,0.035633,10000
6,0.015625,0.015200,0.012981,0.017791,10000
7,0.007812,0.007600,0.006077,0.009501,10000
8,0.003906,0.004400,0.003279,0.005901,10000
9,0.001953,0.001400,0.000834,0.002349,10000
10,0.000977,0.000500,0.000214,0.001170,10000
11,0.000488,0.000600,0.000275,0.001309,10000
12,0.000244,0.000300,0.000102,0.000882,10000
13,0.000122,0.000000,0.000000,0.000384,10000
14,0.000061,0.000000,0.000000,0.000384,10000
15,0.000031,0.000100,0.000018,0.000566,10000
16,0.000015,0.000100,0.000018,0.000566,10000
17,0.000008,0.000200,0.000055,0.000729,10000
18,0.000004,0.000000,0.000000,0.000384,10000
19,0.000002,0.000000,0.000000,0.000384,10000
20,0.000001,0.000000,0.000000,0.000384,10000
