k,n_colluders,p_theoretical,p_simulated
1,2,1.000000,1.000000
2,2,0.500000,0.508100
3,2,0.250000,0.245900
4,2,0.125000,0.122400
5,2,0.062500,0.059000
6,2,0.031250,0.033200
7,2,0.015625,0.014800
8,2,0.007812,0.008700
9,2,0.003906,0.004500
10,2,0.001953,0.002300
11,2,0.000977,0.000500
12,2,0.000488,0.000700
13,2,0.000244,0.000200
14,2,0.000122,0.000000
15,2,0.000061,0.000000
16,2,0.000031,0.000000
1,3,1.000000,1.000000
2,3,0.750000,0.738500
3,3,0.375000,0.373400
4,3,0.187500,0.187300
5,3,0.093750,0.089900
6,3,0.046875,0.045800
7,3,0.023438,0.023600
8,3,0.011719,0.013400
9,3,0.005859,0.006500
10,3,0.002930,0.003100
11,3,0.001465,0.001900
12,3,0.000732,0.000600
13,3,0.000366,0.000400
14,3,0.000183,0.000400
15,3,0.000092,0.000000
16,3,0.000046,0.000200
1,4,1.000000,1.000000
2,4,1.000000,1.000000
3,4,0.500000,0.495800
4,4,0.250000,0.248800
5,4,0.125000,0.124000
6,4,0.062500,0.061500
7,4,0.031250,0.031100
8,4,0.015625,0.014500
9,4,0.007812,0.008200
10,4,0.003906,0.002900
11,4,0.001953,0.002500
12,4,0.000977,0.001000
13,4,0.000488,0.000500
14,4,0.000244,0.000200
15,4,0.000122,0.000000
16,4,0.000061,0.000000
1,5,1.000000,1.000000
2,5,1.000000,1.000000
3,5,0.625000,0.617100
4,5,0.312500,0.310500
5,5,0.156250,0.154700
6,5,0.078125,0.081300
7,5,0.039062,0.039900
8,5,0.019531,0.020200
9,5,0.009766,0.008000
10,5,0.004883,0.005400
11,5,0.002441,0.002300
12,5,0.001221,0.001600
13,5,0.000610,0.000700
14,5,0.000305,0.000200
15,5,0.000153,0.000100
16,5,0.000076,0.000100
1,6,1.000000,1.000000
2,6,1.000000,1.000000
3,6,0.750000,0.752200
4,6,0.375000,0.377000
5,6,0.187500,0.190100
6,6,0.093750,0.095200
7,6,0.046875,0.049500
8,6,0.023438,0.023400
9,6,0.011719,0.012700
10,6,0.005859,0.005800
11,6,0.002930,0.003300
12,6,0.001465,0.002000
13,6,0.000732,0.000600
14,6,0.000366,0.000400
15,6,0.000183,0.000100
16,6,0.000092,0.000200
1,8,1.000000,1.000000
2,8,1.000000,1.000000
3,8,1.000000,1.000000
4,8,0.500000,0.504000
5,8,0.250000,0.249200
6,8,0.125000,0.132500
7,8,0.062500,0.059700
8,8,0.031250,0.026900
9,8,0.015625,0.014500
10,8,0.007812,0.007800
11,8,0.003906,0.004200
12,8,0.001953,0.001400
13,8,0.000977,0.001500
14,8,0.000488,0.000600
15,8,0.000244,0.000100
16,8,0.000122,0.000200
1,10,1.000000,1.000000
2,10,1.000000,1.000000
3,10,1.000000,1.000000
4,10,0.625000,0.619500
5,10,0.312500,0.311700
6,10,0.156250,0.158200
7,10,0.078125,0.081600
8,10,0.039062,0.043400
9,10,0.019531,0.019900
10,10,0.009766,0.010400
11,10,0.004883,0.005400
12,10,0.002441,0.002900
13,10,0.001221,0.001500
14,10,0.000610,0.000300
15,10,0.000305,0.000300
16,10,0.000153,0.000100
