k,single_modal,dual_modal,triple_modal
1,0.500600,0.249900,0.124900
2,0.252600,0.063900,0.015700
3,0.128900,0.017200,0.002200
4,0.061600,0.003700,0.000300
5,0.029100,0.000900,0.000000
6,0.015200,0.000300,0.000000
7,0.008800,0.000000,0.000000
8,0.004200,0.000000,0.000000
9,0.002900,0.000000,0.000000
10,0.000600,0.000000,0.000000
11,0.000300,0.000000,0.000000
12,0.000300,0.000000,0.000000
13,0.000000,0.000000,0.000000
14,0.000000,0.000000,0.000000
15,0.000000,0.000000,0.000000
16,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000
18,0.000000,0.000000,0.000000
19,0.000000,0.000000,0.000000
20,0.000000,0.000000,0.000000
