scheme,n,mean_ms,p99_ms,ci95_ms,size_bytes
hash_only,128,0.0061427680000000155,0.012419,0.00009865776971598792,32
hybrid,128,0.052245073999999773,0.109865,0.0002691222565409167,1056
lattice_only,128,0.0354795157999999,0.09311,0.0002417064598972577,1024
hash_only,192,0.009114132999999946,0.030779,0.0000873019857622476,32
hybrid,192,0.09093530439999975,0.160991,0.000454397256006621,1568
lattice_only,192,0.05742807119999998,0.103785,0.00030093796586125776,1536
hash_only,256,0.01215055200000008,0.036437,0.00010632494037751599,32
hybrid,256,0.14113290900000003,0.205911,0.00043914290169278853,2080
lattice_only,256,0.08618709319999993,0.138367,0.00037043712019763607,2048
hash_only,384,0.01750596860000009,0.043247,0.00012666415458439348,32
hybrid,384,0.2821401646000005,0.360015,0.0006688211902069297,3104
lattice_only,384,0.1658830017999998,0.226459,0.0004907929128867816,3072
hash_only,512,0.023508095800000014,0.049152,0.0001502661780259429,32
hybrid,512,0.47708349040000214,0.573125,0.0008201744309739653,4128
lattice_only,512,0.2785665550000006,0.364115,0.0006903178558682614,4096
hash_only,640,0.029317944399999993,0.061581,0.00019642039799026834,32
hybrid,640,0.7290596780000006,0.866602,0.001197123442390271,5152
lattice_only,640,0.4274741599999992,0.55372,0.0010664608962814054,5120
hash_only,768,0.03497425339999991,0.065132,0.00018898915999319786,32
hybrid,768,1.0302532312,1.173241,0.0012471732632023348,6176
lattice_only,768,0.594859998199998,0.728594,0.001154506585887488,6144
hash_only,896,0.04150873900000001,0.0831,0.00024301033015278398,32
hybrid,896,1.3854711447999952,1.561201,0.0014338429614646653,7200
lattice_only,896,0.8025658498000002,0.943366,0.0013004027665438483,7168
hash_only,1024,0.04724661519999999,0.090294,0.00028947133544283884,32
hybrid,1024,1.7900653790000018,1.975114,0.001651445539172051,8224
lattice_only,1024,1.2642688093999992,1.631475,0.00518687298172556,8192
