n,scheme,rep,mean,p50,p95,p99,jitter
128,hybrid,0,46.9326,46,64,78,0.14303377580263787
128,hash_only,0,1.064,1,1,1,1.370088012199804
128,lattice_only,0,43.9002,43,61,74,0.1467767112996685
128,hybrid,1,47.1578,46,55,99,0.1697858756783918
128,hash_only,1,1.0424,1,1,1,0.8946967467348732
128,lattice_only,1,44.0276,43,52,84,0.17463589956723646
128,hybrid,2,47.1114,46,64,79,0.1547327600181307
128,hash_only,2,1.0602,1,1,1,1.1614138567643901
128,lattice_only,2,44.0844,43,59,76,0.1783712235822726
128,hybrid,3,46.9844,46,65,77,0.12825936332806542
128,hash_only,3,1.0892,1,1,1,1.3034645175053252
128,lattice_only,3,43.8604,43,62,73,0.1336557220749478
128,hybrid,4,47.228,46,66,78,0.13693070698773432
128,hash_only,4,1.0518,1,1,1,1.017044517232542
128,lattice_only,4,44.0674,43,62,74,0.14627512435594026
128,hybrid,5,47.176,46,66,78,0.13647424738819944
128,hash_only,5,1.0474,1,1,1,0.8841337648695184
128,lattice_only,5,44.103,43,62,75,0.15058804888718505
128,hybrid,6,47.2088,46,66,78,0.14493654803170802
128,hash_only,6,1.0898,1,1,1,1.282190978793032
128,lattice_only,6,44.111,43,62,75,0.14636005807390304
128,hybrid,7,47.1952,46,66,78,0.14334691175909103
128,hash_only,7,1.0556,1,1,1,0.9805233090265468
128,lattice_only,7,43.9674,43,62,74,0.14094226890629002
128,hybrid,8,46.9798,46,65,77,0.12973655250939772
128,hash_only,8,1.0454,1,1,1,0.9535723209617969
128,lattice_only,8,43.964,43,62,74,0.13571175118858295
128,hybrid,9,47.1272,46,66,78,0.134862164860064
128,hash_only,9,1.0492,1,1,1,0.9367541840678576
128,lattice_only,9,44.0574,43,62,75,0.14457556810191521
512,hybrid,0,561.1686,557,603,624,0.046961497995552035
512,hash_only,0,1.14,1,2,2,0.987611785616671
512,lattice_only,0,548.1418,545,590,612,0.042013471376689704
512,hybrid,1,562.4448,558,608,637,0.05030451757538753
512,hash_only,1,1.1916,1,2,2,1.2693109867917338
512,lattice_only,1,550.0238,545,596,625,0.05343435864973635
512,hybrid,2,564.211,559,612,647,0.04786356366699965
512,hash_only,2,1.2142,1,2,2,1.1398637199130084
512,lattice_only,2,550.8702,546,599,634,0.04826688749537446
512,hybrid,3,566.69,563,616,641,0.04700354572448182
512,hash_only,3,1.3428,1,2,4,1.5965511711251812
512,lattice_only,3,553.0624,549,602,628,0.04631124188405285
512,hybrid,4,564.4342,560,615,641,0.04726615957348465
512,hash_only,4,1.2102,1,2,2,1.2013122100467295
512,lattice_only,4,551.4666,547,602,628,0.04774576954820973
512,hybrid,5,565.6048,561,612,648,0.06934189712322499
512,hash_only,5,1.2282,1,2,2,1.3599144405455197
512,lattice_only,5,551.9544,548,598,639,0.04935087607298866
512,hybrid,6,646.1138,577,878,951,0.1905011409317785
512,hash_only,6,1.8082,1,5,8,1.4178679078906953
512,lattice_only,6,630.9364,565,858,935,0.19053619616827502
512,hybrid,7,591.5624,564,783,1123,0.17530632948066635
512,hash_only,7,1.3692,1,2,8,1.560649609078076
512,lattice_only,7,576.652,551,763,1043,0.17407253461618724
512,hybrid,8,562.6866,557,614,641,0.04885038776965396
512,hash_only,8,1.1824,1,2,2,1.2728644816043904
512,lattice_only,8,549.6054,545,599,625,0.047209845011732685
512,hybrid,9,562.8168,560,606,632,0.042365223532651874
512,hash_only,9,1.2332,1,2,2,1.5375494213485263
512,lattice_only,9,550.2286,547,594,623,0.04434401095425911
1024,hybrid,0,589.9582,583,647,731,0.09108472133881797
1024,hash_only,0,1.7686,2,2,3,1.4599479310784755
1024,lattice_only,0,541.421,535,603,688,0.1125380192058321
1024,hybrid,1,596.5558,589,659,759,0.09358427315458481
1024,hash_only,1,1.7758,2,2,3,1.2615961622324328
1024,lattice_only,1,545.429,541,611,716,0.09989415013231738
1024,hybrid,2,595.8048,592,643,689,0.08599031293087556
1024,hash_only,2,1.8604,2,2,3,1.1311050979549717
1024,lattice_only,2,550.532,547,602,648,0.09514168674626534
1024,hybrid,3,624.5006,620,683,801,0.11514976143827062
1024,hash_only,3,1.7452,2,2,2,0.7375198470198436
1024,lattice_only,3,575.487,574,634,787,0.12650204879174573
1024,hybrid,4,599.4672,594,652,718,0.08254830456431933
1024,hash_only,4,1.788,2,2,3,1.0079932182625528
1024,lattice_only,4,551.6638,549,609,674,0.09934406622816247
1024,hybrid,5,587.0372,578,653,697,0.08131537616336716
1024,hash_only,5,1.6512,2,2,2,0.864391733186024
1024,lattice_only,5,541.5934,536,609,659,0.09842939223184613
1024,hybrid,6,581.9742,576,631,742,0.09529557609634409
1024,hash_only,6,1.7096,2,2,3,1.1245414238059976
1024,lattice_only,6,537.1228,533,587,705,0.1229490895310748
1024,hybrid,7,589.9522,583,649,700,0.11116405438606057
1024,hash_only,7,1.5008,1,2,2,0.9360664435796454
1024,lattice_only,7,537.5374,532,600,672,0.11440639370358634
1024,hybrid,8,592.9292,585,649,755,0.14877842852710582
1024,hash_only,8,1.804,2,2,3,1.3542281761679216
1024,lattice_only,8,543.6452,541,604,680,0.12865421341223382
1024,hybrid,9,598.0836,590,651,749,0.10812918905840234
1024,hash_only,9,1.6932,2,2,3,0.8781998437546228
1024,lattice_only,9,549.1622,545,606,667,0.1112384920388974
